"Statistic Label","Year","Type of Hospital","ICD 10 Diagnostic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2022","Private hospitals","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","Private hospitals","Other and unspecified","Number","142"
"Psychiatric In-patients (Number)","2022","Private hospitals","All disorders","Number","456"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Organic mental disorders","%","1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","73.1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Depressive disorders","%","3.2"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Mania","%","4.3"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Neuroses","%","1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","2.1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Alcoholic disorders","%","2.1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Other drug disorders","%","1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Intellectual disability","%","1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Development disorders","%","1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Other and unspecified","%","9.6"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Intellectual disability","%","98.4"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Other and unspecified","%","1.5"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Organic mental disorders","%","5.5"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","44.4"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Depressive disorders","%","13.8"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Mania","%","19.4"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Neuroses","%","2.7"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Personality and behavioural disorders","%","11.1"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Intellectual disability","%","2.7"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Organic mental disorders","%","10.7"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","31.2"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Depressive disorders","%","16.5"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Mania","%","8.2"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Neuroses","%","3.5"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Personality and behavioural disorders","%","2.8"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Alcoholic disorders","%","3"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Other drug disorders","%","1.1"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Eating disorders","%","0.7"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Intellectual disability","%","6.7"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Development disorders","%","0.1"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Other and unspecified","%","15"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Organic mental disorders","%","2.9"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","34.2"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Depressive disorders","%","22.2"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Mania","%","11.2"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Neuroses","%","5"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Personality and behavioural disorders","%","4.4"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Alcoholic disorders","%","2.6"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Other drug disorders","%","2.3"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Eating disorders","%","0.9"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Intellectual disability","%","0.1"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Development disorders","%","0"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Other and unspecified","%","13.6"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Organic mental disorders","%","15.5"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","41.7"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Depressive disorders","%","10.9"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Mania","%","6.7"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Neuroses","%","1.7"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","2.3"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","1.8"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Other drug disorders","%","0.4"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Eating disorders","%","0.1"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Intellectual disability","%","3.4"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Development disorders","%","0.2"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Other and unspecified","%","14.8"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2013","Private hospitals","Organic mental disorders","%","17.6"
"Psychiatric In-patients (%)","2013","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","11.5"
"Psychiatric In-patients (%)","2013","Private hospitals","Depressive disorders","%","23.6"
"Psychiatric In-patients (%)","2013","Private hospitals","Mania","%","8.7"
"Psychiatric In-patients (%)","2013","Private hospitals","Neuroses","%","5.5"
"Psychiatric In-patients (%)","2013","Private hospitals","Personality and behavioural disorders","%","1.7"
"Psychiatric In-patients (%)","2013","Private hospitals","Alcoholic disorders","%","6.1"
"Psychiatric In-patients (%)","2013","Private hospitals","Other drug disorders","%","0.8"
"Psychiatric In-patients (%)","2013","Private hospitals","Eating disorders","%","1.9"
"Psychiatric In-patients (%)","2013","Private hospitals","Intellectual disability","%","0.1"
"Psychiatric In-patients (%)","2013","Private hospitals","Development disorders","%","0.1"
"Psychiatric In-patients (%)","2013","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2013","Private hospitals","Other and unspecified","%","21.9"
"Psychiatric In-patients (%)","2013","Private hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","73.2"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Depressive disorders","%","3.1"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Mania","%","6.2"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Neuroses","%","1"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","3.1"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Alcoholic disorders","%","1"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Development disorders","%","4.1"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Other and unspecified","%","8.3"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Intellectual disability","%","95.2"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Other and unspecified","%","4.9"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","40"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Depressive disorders","%","25"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Mania","%","20"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Neuroses","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Personality and behavioural disorders","%","15"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Organic mental disorders","%","11.5"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","32.2"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Depressive disorders","%","16.5"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Mania","%","8.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Neuroses","%","4"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Personality and behavioural disorders","%","3.3"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Alcoholic disorders","%","3.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Other drug disorders","%","1.3"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Eating disorders","%","0.6"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Intellectual disability","%","5.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Development disorders","%","0.3"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Other and unspecified","%","14.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Organic mental disorders","%","4.2"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","31.7"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Depressive disorders","%","20.4"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Mania","%","12.9"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Neuroses","%","4.9"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Personality and behavioural disorders","%","4.5"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Alcoholic disorders","%","2.4"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Other drug disorders","%","2.8"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Eating disorders","%","0.4"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Intellectual disability","%","0.9"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Development disorders","%","0"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Other and unspecified","%","15"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Organic mental disorders","%","17.6"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","47.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Depressive disorders","%","8.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Mania","%","5.8"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Neuroses","%","2.7"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","3.8"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","1.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Other drug disorders","%","0.8"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Eating disorders","%","0.1"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Intellectual disability","%","1.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Development disorders","%","0.1"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Other and unspecified","%","8.4"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2016","Private hospitals","Organic mental disorders","%","17.5"
"Psychiatric In-patients (%)","2016","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","12.1"
"Psychiatric In-patients (%)","2016","Private hospitals","Depressive disorders","%","25.4"
"Psychiatric In-patients (%)","2016","Private hospitals","Mania","%","6.1"
"Psychiatric In-patients (%)","2016","Private hospitals","Neuroses","%","5.5"
"Psychiatric In-patients (%)","2016","Private hospitals","Personality and behavioural disorders","%","1.3"
"Psychiatric In-patients (%)","2016","Private hospitals","Alcoholic disorders","%","6.4"
"Psychiatric In-patients (%)","2016","Private hospitals","Other drug disorders","%","0.5"
"Psychiatric In-patients (%)","2016","Private hospitals","Eating disorders","%","1.8"
"Psychiatric In-patients (%)","2016","Private hospitals","Intellectual disability","%","0.3"
"Psychiatric In-patients (%)","2016","Private hospitals","Development disorders","%","0.2"
"Psychiatric In-patients (%)","2016","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2016","Private hospitals","Other and unspecified","%","23"
"Psychiatric In-patients (%)","2016","Private hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Organic mental disorders","%","1"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","%","80.6"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Depressive disorders","%","2.9"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Mania","%","6.8"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Neuroses","%","1"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Personality and behavioural disorders","%","1.9"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Alcoholic disorders","%","1"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Eating disorders","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Intellectual disability","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Development disorders","%","4.9"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Other and unspecified","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","All disorders","%","100"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Depressive disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Mania","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Neuroses","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Eating disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Intellectual disability","%","94.7"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Development disorders","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Other and unspecified","%","5.3"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","All disorders","%","100"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Organic mental disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","%","66.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Depressive disorders","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Mania","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Neuroses","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Personality and behavioural disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Alcoholic disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Other drug disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Eating disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Intellectual disability","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Development disorders","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Other and unspecified","%","13.3"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","All disorders","%","100"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Organic mental disorders","%","9.8"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","%","33"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Depressive disorders","%","16.3"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Mania","%","7.5"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Neuroses","%","5.3"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Personality and behavioural disorders","%","3.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Alcoholic disorders","%","3.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Other drug disorders","%","1.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Eating disorders","%","1"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Intellectual disability","%","4.2"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Development disorders","%","0.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0.1"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Other and unspecified","%","13.1"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Organic mental disorders","%","4.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","%","30.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Depressive disorders","%","18.3"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Mania","%","12.3"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Neuroses","%","5.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Personality and behavioural disorders","%","5.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Alcoholic disorders","%","1.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Other drug disorders","%","2.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Eating disorders","%","0.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Intellectual disability","%","1"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Development disorders","%","0.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Other and unspecified","%","16.9"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","All disorders","%","100"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Organic mental disorders","%","16.8"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","%","47.5"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Depressive disorders","%","8"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Mania","%","5.4"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Neuroses","%","1.7"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","%","3.5"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Alcoholic disorders","%","2.3"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Other drug disorders","%","1.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Eating disorders","%","0.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Intellectual disability","%","2.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Development disorders","%","0"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","%","0"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Other and unspecified","%","11.3"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","All disorders","%","100"
"Psychiatric In-patients (%)","2019","Private hospitals","Organic mental disorders","%","11.7"
"Psychiatric In-patients (%)","2019","Private hospitals","Schizophrenia, schizotypal and delusional disorders","%","15.2"
"Psychiatric In-patients (%)","2019","Private hospitals","Depressive disorders","%","27.5"
"Psychiatric In-patients (%)","2019","Private hospitals","Mania","%","4.8"
"Psychiatric In-patients (%)","2019","Private hospitals","Neuroses","%","10.5"
"Psychiatric In-patients (%)","2019","Private hospitals","Personality and behavioural disorders","%","2.7"
"Psychiatric In-patients (%)","2019","Private hospitals","Alcoholic disorders","%","8.8"
"Psychiatric In-patients (%)","2019","Private hospitals","Other drug disorders","%","1.9"
"Psychiatric In-patients (%)","2019","Private hospitals","Eating disorders","%","2.6"
"Psychiatric In-patients (%)","2019","Private hospitals","Intellectual disability","%","0.2"
"Psychiatric In-patients (%)","2019","Private hospitals","Development disorders","%","0.6"
"Psychiatric In-patients (%)","2019","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","%","0.3"
"Psychiatric In-patients (%)","2019","Private hospitals","Other and unspecified","%","13.3"
"Psychiatric In-patients (%)","2019","Private hospitals","All disorders","%","100"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Organic mental disorders","%","1"
