"Statistic Label","Year","Type of Hospital","Socio Economic Group","UNIT","VALUE"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Farmers","%","3.6"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Agricultural workers","%","0.6"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Higher professional","%","3.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Lower professional","%","7.4"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Employers & managers","%","2.4"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Own account workers","%","0.8"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Non-manual","%","11.7"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Manual skilled","%","6.1"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Semi-skilled","%","6.2"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Unskilled","%","6.8"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","Unspecified","%","51.5"
"Psychiatric In-patients (%)","2016","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Farmers","%","2.5"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Agricultural workers","%","0.1"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Higher professional","%","1.8"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Lower professional","%","6.1"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Employers & managers","%","1.3"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Own account workers","%","0.5"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Non-manual","%","11.4"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Manual skilled","%","7.4"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Semi-skilled","%","7.6"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Unskilled","%","7.8"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","Unspecified","%","53.6"
"Psychiatric In-patients (%)","2016","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Farmers","%","6.1"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Agricultural workers","%","1.4"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Higher professional","%","0.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Lower professional","%","4"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Employers & managers","%","1"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Own account workers","%","0.4"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Non-manual","%","7.8"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Manual skilled","%","6.2"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Semi-skilled","%","6.9"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Unskilled","%","9.7"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","Unspecified","%","55.6"
"Psychiatric In-patients (%)","2016","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","Private hospitals","Farmers","%","2.3"
"Psychiatric In-patients (%)","2016","Private hospitals","Agricultural workers","%","0.5"
"Psychiatric In-patients (%)","2016","Private hospitals","Higher professional","%","8.4"
"Psychiatric In-patients (%)","2016","Private hospitals","Lower professional","%","15.4"
"Psychiatric In-patients (%)","2016","Private hospitals","Employers & managers","%","6.4"
"Psychiatric In-patients (%)","2016","Private hospitals","Own account workers","%","1.6"
"Psychiatric In-patients (%)","2016","Private hospitals","Non-manual","%","19"
"Psychiatric In-patients (%)","2016","Private hospitals","Manual skilled","%","5.5"
"Psychiatric In-patients (%)","2016","Private hospitals","Semi-skilled","%","5.6"
"Psychiatric In-patients (%)","2016","Private hospitals","Unskilled","%","3.2"
"Psychiatric In-patients (%)","2016","Private hospitals","Unspecified","%","32.2"
"Psychiatric In-patients (%)","2016","Private hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","Unspecified","%","100"
"Psychiatric In-patients (%)","2019","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Farmers","%","2.6"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Higher professional","%","1.3"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Lower professional","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Non-manual","%","6.6"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Manual skilled","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Unskilled","%","1.3"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","Unspecified","%","88.2"
"Psychiatric In-patients (%)","2019","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Farmers","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Higher professional","%","13.3"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Lower professional","%","13.3"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Own account workers","%","0"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Non-manual","%","20"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Manual skilled","%","20"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Semi-skilled","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Unskilled","%","6.7"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","Unspecified","%","13.3"
"Psychiatric In-patients (%)","2019","Carraig Mór, Cork","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Farmers","%","2.4"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Agricultural workers","%","0.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Higher professional","%","3"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Lower professional","%","7.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Employers & managers","%","2.7"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Own account workers","%","0.8"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Non-manual","%","11.1"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Manual skilled","%","4.6"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Semi-skilled","%","3.6"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Unskilled","%","5.2"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","Unspecified","%","58.2"
"Psychiatric In-patients (%)","2019","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Farmers","%","1.3"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Agricultural workers","%","0.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Higher professional","%","1.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Lower professional","%","4.4"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Employers & managers","%","1.1"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Own account workers","%","0.8"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Non-manual","%","10.3"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Manual skilled","%","5"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Semi-skilled","%","5"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Unskilled","%","6"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","Unspecified","%","64.1"
"Psychiatric In-patients (%)","2019","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Farmers","%","4.8"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Agricultural workers","%","1.9"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Higher professional","%","1"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Lower professional","%","5.5"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Employers & managers","%","1.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Own account workers","%","0.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Non-manual","%","7.8"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Manual skilled","%","5.2"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Semi-skilled","%","4.1"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Unskilled","%","8.9"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","Unspecified","%","59.5"
"Psychiatric In-patients (%)","2019","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2019","Private hospitals","Farmers","%","1.6"
"Psychiatric In-patients (%)","2019","Private hospitals","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2019","Private hospitals","Higher professional","%","7.2"
"Psychiatric In-patients (%)","2019","Private hospitals","Lower professional","%","16.5"
"Psychiatric In-patients (%)","2019","Private hospitals","Employers & managers","%","7.4"
"Psychiatric In-patients (%)","2019","Private hospitals","Own account workers","%","1.8"
"Psychiatric In-patients (%)","2019","Private hospitals","Non-manual","%","17.7"
"Psychiatric In-patients (%)","2019","Private hospitals","Manual skilled","%","4.2"
"Psychiatric In-patients (%)","2019","Private hospitals","Semi-skilled","%","2.4"
"Psychiatric In-patients (%)","2019","Private hospitals","Unskilled","%","1.4"
"Psychiatric In-patients (%)","2019","Private hospitals","Unspecified","%","39.8"
"Psychiatric In-patients (%)","2019","Private hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","Unspecified","%","100"
"Psychiatric In-patients (%)","2020","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Farmers","%","2.9"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Higher professional","%","1.4"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Lower professional","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Non-manual","%","4.3"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Manual skilled","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Unskilled","%","1.4"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","Unspecified","%","90"
"Psychiatric In-patients (%)","2020","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Farmers","%","10"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Higher professional","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Lower professional","%","10"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Own account workers","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Non-manual","%","30"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Manual skilled","%","0"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Semi-skilled","%","10"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Unskilled","%","30"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","Unspecified","%","10"
"Psychiatric In-patients (%)","2020","Carraig Mór, Cork","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Farmers","%","2.4"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Agricultural workers","%","0.6"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Higher professional","%","2.1"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Lower professional","%","5.3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Employers & managers","%","1.5"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Own account workers","%","0.3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Non-manual","%","8.7"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Manual skilled","%","3.3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Semi-skilled","%","3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Unskilled","%","4.6"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","Unspecified","%","68.3"
"Psychiatric In-patients (%)","2020","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Farmers","%","1.8"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Higher professional","%","2.4"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Lower professional","%","4.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Employers & managers","%","0.3"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Own account workers","%","0.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Non-manual","%","8.6"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Manual skilled","%","5.1"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Semi-skilled","%","4.3"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Unskilled","%","4.3"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","Unspecified","%","67.8"
"Psychiatric In-patients (%)","2020","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Farmers","%","4.6"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Agricultural workers","%","1.4"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Higher professional","%","1.1"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Lower professional","%","4.9"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Employers & managers","%","0.5"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Own account workers","%","0"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Non-manual","%","9"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Manual skilled","%","2.5"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Semi-skilled","%","2.8"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Unskilled","%","9"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","Unspecified","%","64.2"
"Psychiatric In-patients (%)","2020","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2020","Private hospitals","Farmers","%","0.9"
"Psychiatric In-patients (%)","2020","Private hospitals","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2020","Private hospitals","Higher professional","%","3.8"
"Psychiatric In-patients (%)","2020","Private hospitals","Lower professional","%","8.7"
"Psychiatric In-patients (%)","2020","Private hospitals","Employers & managers","%","5.1"
"Psychiatric In-patients (%)","2020","Private hospitals","Own account workers","%","0.5"
"Psychiatric In-patients (%)","2020","Private hospitals","Non-manual","%","10.5"
"Psychiatric In-patients (%)","2020","Private hospitals","Manual skilled","%","3.1"
"Psychiatric In-patients (%)","2020","Private hospitals","Semi-skilled","%","2.2"
"Psychiatric In-patients (%)","2020","Private hospitals","Unskilled","%","0.2"
"Psychiatric In-patients (%)","2020","Private hospitals","Unspecified","%","64.8"
"Psychiatric In-patients (%)","2020","Private hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","Unspecified","%","100"
"Psychiatric In-patients (%)","2021","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Farmers","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Higher professional","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Lower professional","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Non-manual","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Manual skilled","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Unskilled","%","0"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","Unspecified","%","100"
"Psychiatric In-patients (%)","2021","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Farmers","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Higher professional","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Lower professional","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Own account workers","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Non-manual","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Manual skilled","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Unskilled","%","0"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","Unspecified","%","100"
"Psychiatric In-patients (%)","2021","Carraig Mór, Cork","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Farmers","%","1.6"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Higher professional","%","2.1"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Lower professional","%","5.6"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Employers & managers","%","1.6"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Own account workers","%","0.3"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Non-manual","%","7"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Manual skilled","%","2.2"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Semi-skilled","%","3.2"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Unskilled","%","3.5"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","Unspecified","%","72.9"
"Psychiatric In-patients (%)","2021","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Farmers","%","0.7"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Higher professional","%","2"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Lower professional","%","3.8"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Employers & managers","%","0.6"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Own account workers","%","0.4"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Non-manual","%","6.3"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Manual skilled","%","2.7"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Semi-skilled","%","4.4"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Unskilled","%","4.6"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","Unspecified","%","74.5"
"Psychiatric In-patients (%)","2021","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Farmers","%","3.6"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Agricultural workers","%","0.5"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Higher professional","%","1.1"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Lower professional","%","4.4"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Employers & managers","%","0.7"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Own account workers","%","0"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Non-manual","%","5.3"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Manual skilled","%","2.4"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Semi-skilled","%","2.7"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Unskilled","%","5.6"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","Unspecified","%","73.7"
"Psychiatric In-patients (%)","2021","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2021","Private hospitals","Farmers","%","0.9"
"Psychiatric In-patients (%)","2021","Private hospitals","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2021","Private hospitals","Higher professional","%","4.3"
"Psychiatric In-patients (%)","2021","Private hospitals","Lower professional","%","12.1"
"Psychiatric In-patients (%)","2021","Private hospitals","Employers & managers","%","4.8"
"Psychiatric In-patients (%)","2021","Private hospitals","Own account workers","%","0.7"
"Psychiatric In-patients (%)","2021","Private hospitals","Non-manual","%","12.7"
"Psychiatric In-patients (%)","2021","Private hospitals","Manual skilled","%","2.1"
"Psychiatric In-patients (%)","2021","Private hospitals","Semi-skilled","%","3.2"
"Psychiatric In-patients (%)","2021","Private hospitals","Unskilled","%","0.5"
"Psychiatric In-patients (%)","2021","Private hospitals","Unspecified","%","58.6"
"Psychiatric In-patients (%)","2021","Private hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","Unspecified","%","100"
"Psychiatric In-patients (%)","2022","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Farmers","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Higher professional","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Lower professional","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2022","St Joseph's Intellectual Disability Service","Non-manual","%","0"
